地区,センター,可燃ごみ,不燃ごみ,プラスチック製容器包装,缶,ペットボトル,スプレー缶・カセットボンベ,食品用トレイ等発泡スチロール
荒尾町,清掃センター,火 木,水3,木,水4,水2,水4,木
東海町,清掃センター,火 木,水3,木,水4,水2,水4,木
富貴ノ台,清掃センター,火 木,水3,木,水4,水2,水4,木
富木島町,清掃センター,火 木,水3,木,水4,水2,水4,木
中央町,清掃センター,火 木,水3,木,水4,水2,水4,木
横須賀町,清掃センター,火 木,水3,木,水4,水2,水4,木
元浜町,清掃センター,火 木,水3,木,水4,水2,水4,木
養父町,清掃センター,火 木,水3,木,水4,水2,水4,木
南柴田町,清掃センター,月 木,水1,金,水2,水3,水2,金
名和町,清掃センター,月 木,水1,金,水2,水3,水2,金
浅山,清掃センター,月 木,水1,金,水2,水3,水2,金
大田町,清掃センター,月 木,水1,金,水2,水3,水2,金
高横須賀町,清掃センター,月 木,水1,金,水2,水3,水2,金
中ノ池,清掃センター,月 木,水1,金,水2,水3,水2,金
加木屋町,清掃センター,月 木,水1,金,水2,水3,水2,金
